Date,Open,High,Low,Close,Adj Close,Volume,Day
4/27/2015,194.630005,194.740005,193,193.210007,164.618744,898200,290
4/28/2015,193.169998,193.850006,191.940002,193.809998,165.129898,1103800,291
4/29/2015,192.809998,193.660004,192.139999,193.020004,164.456833,1408900,292
4/30/2015,192.399994,192.800003,190.320007,191.100006,162.820938,2506100,293
5/1/2015,191.960007,193.179993,191.850006,193.100006,164.524979,1921200,294
5/4/2015,193.639999,194.309998,193.5,193.699997,165.036255,1060000,295
5/5/2015,193.399994,193.800003,191.330002,191.440002,163.110626,1138300,296
5/6/2015,192.089996,192.389999,189.529999,190.669998,162.45459,1588100,297
5/7/2015,190.589996,191.899994,190.240005,191.440002,163.110626,1320700,298
5/8/2015,193.300003,194.179993,193.229996,193.949997,165.249222,1322900,299
5/11/2015,193.929993,194.199997,192.960007,193.020004,164.456833,1090100,300
5/12/2015,192.149994,193.070007,191.229996,192.460007,163.979752,1852700,301
5/13/2015,192.960007,193.610001,192.259995,192.520004,164.030777,589000,302
5/14/2015,193.639999,194.600006,193.330002,194.529999,165.743378,902300,303
5/15/2015,194.679993,194.880005,194.220001,194.729996,165.913818,719000,304
5/18/2015,194.630005,195.619995,194.479996,195.330002,166.425018,984500,305
5/19/2015,195.440002,195.770004,194.960007,195.229996,166.339783,980400,306
5/20/2015,195.369995,195.949997,194.800003,195.100006,166.22905,3401300,307
5/21/2015,195.050003,195.929993,194.830002,195.690002,166.731796,756200,308
5/22/2015,195.309998,195.75,195.190002,195.259995,166.365387,831600,309
5/26/2015,194.729996,194.770004,192.699997,193.160004,164.576096,1235300,310
5/27/2015,193.660004,195.240005,193.300003,194.940002,166.092728,1420100,311
5/28/2015,194.660004,194.869995,194,194.759995,165.939392,1114500,312
5/29/2015,194.669998,194.720001,193.25,193.490005,164.857269,1530900,313
6/1/2015,194.229996,194.639999,193.089996,193.940002,165.240692,1157400,314
6/2/2015,193.429993,194.5,192.75,193.740005,165.070297,1094400,315
6/3/2015,194.309998,194.929993,193.740005,194.270004,165.521881,1213800,316
6/4/2015,193.520004,194.130005,192.279999,192.690002,164.17569,1383400,317
6/5/2015,192.479996,193.020004,191.580002,192.300003,163.843384,1567800,318
6/8/2015,192.169998,192.320007,191.020004,191.110001,162.829529,1130100,319
6/9/2015,191.100006,191.649994,190.369995,191.059998,162.786865,1466100,320
6/10/2015,191.960007,193.779999,191.880005,193.330002,164.720947,1247700,321
6/11/2015,193.949997,194.369995,193.630005,193.929993,165.232147,724700,322
6/12/2015,193.009995,193.220001,192.210007,192.509995,164.022308,2147700,323
6/15/2015,191.220001,191.970001,190.470001,191.619995,163.264008,1392600,324
6/16/2015,191.5,192.809998,191.339996,192.740005,164.218262,819800,325
6/17/2015,193.059998,193.690002,191.949997,193.070007,164.499451,1170600,326
6/18/2015,193.610001,195.529999,193.600006,194.979996,166.126801,1041600,327
6/19/2015,194.800003,194.850006,193.850006,193.850006,165.164017,691400,328
6/22/2015,194.369995,194.919998,194.050003,194.270004,166.2957,1027000,329
6/23/2015,194.479996,194.759995,194,194.410004,166.415466,1727200,330
6/24/2015,194.179993,194.520004,192.990005,193.020004,165.225632,2160600,331
6/25/2015,193.509995,193.690002,192.360001,192.419998,164.712006,2287600,332
6/26/2015,192.820007,193.070007,191.800003,192.419998,164.712006,1631900,333
6/29/2015,190.779999,191.429993,188.259995,188.350006,161.228119,2746800,334
6/30/2015,190.179993,190.179993,188.240005,188.839996,161.647522,2679400,335
7/1/2015,190.649994,190.75,189.449997,190.270004,162.871643,2782300,336
7/2/2015,190.850006,191,189.679993,190.130005,162.751816,3087100,337
7/6/2015,188.720001,190.399994,188.479996,189.580002,162.280991,1741100,338
7/7/2015,189.860001,190.899994,187.190002,190.75,163.282532,3507500,339
7/8/2015,189.360001,189.589996,187.309998,187.509995,160.509064,1874000,340
7/9/2015,189.899994,190.130005,187.830002,187.850006,160.80014,2224900,341
7/10/2015,190.179993,190.710007,189.350006,190.240005,162.846008,1648600,342
7/13/2015,191.589996,192.479996,191.580002,192.369995,164.669266,1026100,343
7/14/2015,192.369995,193.529999,192.270004,193.220001,165.396851,1128900,344
7/15/2015,193.289993,193.729996,192.619995,193.139999,165.328339,1174800,345
7/16/2015,194.309998,194.669998,194.050003,194.619995,166.595261,949500,346
7/17/2015,194.679993,194.919998,194.240005,194.850006,166.792099,872100,347
7/20/2015,195.089996,195.460007,194.600006,194.940002,166.869186,1103500,348
7/21/2015,194.820007,195.050003,193.860001,194.169998,166.210052,772400,349
7/22/2015,193.380005,194.160004,193.380005,193.789993,165.88472,1193800,350
7/23/2015,194,194.029999,192.339996,192.679993,164.934616,899300,351
7/24/2015,192.860001,192.889999,190.360001,190.669998,163.214035,1589100,352
7/27/2015,189.779999,190.320007,189.149994,189.589996,162.289536,1745600,353
7/28/2015,190.589996,192.100006,189.630005,191.889999,164.258362,931300,354
7/29/2015,192.070007,193.5,191.910004,193.25,165.422531,2471200,355
7/30/2015,192.770004,193.479996,192.020004,193.279999,165.448196,924400,356
7/31/2015,193.919998,193.919998,192.710007,192.949997,165.165726,1437200,357
8/3/2015,193,193.009995,191.330002,192.350006,164.652161,3081700,358
8/4/2015,192.350006,192.759995,191.460007,191.970001,164.326843,1601700,359
8/5/2015,193.039993,193.75,192.309998,192.639999,164.900406,1369900,360
8/6/2015,192.770004,192.929993,190.389999,191.169998,163.642059,1321200,361
8/7/2015,190.880005,190.990005,189.690002,190.669998,163.214035,1854100,362
8/10/2015,191.899994,193.149994,191.899994,193.089996,165.285522,1346700,363
8/11/2015,191.639999,192.039993,190.5,191.320007,163.770447,4996300,364
8/12/2015,189.880005,191.759995,188.300003,191.490005,163.916,3758700,365
8/13/2015,191.419998,192.119995,190.770004,191.279999,163.736191,1155900,366
8/14/2015,191.119995,192.080002,190.979996,192.020004,164.369659,742500,367
8/17/2015,191.419998,193.089996,190.860001,193.089996,165.285522,1926300,368
8/18/2015,192.839996,193.160004,192.279999,192.5,164.780548,1023800,369
